what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267716433755
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267716433755
java.vm.specification.version,sysinfo,,,"1.0",1267716433755
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267716433755
java.vm.version,sysinfo,,,"16.0-b13",1267716433755
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267716438653
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1267716439012
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1267716439386
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1267716439464
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1267716439480
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1267716439496
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1267716439496
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1267716439527
